Name Loader: TransliteratedNameLoader(language_column='language', debug_mode=False)
Loading names using p_map and 16 workers...
[compute_crossing_alignments] Creating pooled corpus...
[FastAligner] Saving alignment training data to: /tmp/tmpafw3tbut
[FastAligner] Saving fast_align output to: /tmp/tmpainnjum4
[compute_crossing_alignments] Writing names out to ./data/name_reversal/permuted_names_by_model/comma:
[compute_crossing_alignments] Avg. number of crossing alignments per language:
global	0.30800543399830016
Afar	0.021141159677481577
Abkhaz	0.9352331606217616
Ambonese	0.0
Acehnese	0.03165690498088
Adyghe	0.7354497354497355
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.257453666398066
Tunisian Arabic in Latin script	0.08770718232044199
Afrikaans	0.22788041588675992
Akan Wiktionary	0.026516007532956687
Gheg Albanian	0.015183556081881239
Swiss German	0.25384615384615383
Amharic	1.258879781420765
Aragonese	0.19795588729816593
Old English	0.05433403805496829
Angika	0.0989010989010989
Arabic	1.190623383145144
Aramaic	0.9006410256410257
Mapudungun	0.01780086875053232
Algerian Arabic	1.0971922246220303
Moroccan Arabic	1.5093892073532318
Egyptian Arabic	0.7588418669668592
Assamese	0.5552820053715309
Asturian	0.1699264746401408
Atikamekw	0.07197943444730077
Avaric	1.6782608695652175
Kotava	0.5331588132635253
Awadhi	0.5992779783393501
Aymara	0.06022648654553399
Azerbaijani	0.6165020740406477
South Azerbaijani	1.1429076804507954
Bashkir language	6.603545301069218
Balinese	0.3208137715179969
Bavarian	0.14931903903680718
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.08764665286404417
Southern Balochi	0.08465608465608465
Central Bikol	0.044410799899066364
Belarusian	2.5888341543513955
Taraškievica	1.4577722655327192
Bulgarian	2.452869335596737
Western Balochi	0.033112582781456956
Bhojpuri	1.118572927597062
Bislama Wiktionary	0.022900763358778626
Banjar	0.026225664532785374
Bambara	0.12176732557231033
Bengali	1.2509078849183317
Tibetan	1.6649431230610134
Bishnupriya Manipuri	0.8766233766233766
Bakhtiari	0.12105263157894737
Breton	0.2053282783000743
Brahui language	0.014440277598172334
Bosnian	0.22845626998846327
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.02979192024575436
Russia Buriat	1.1700819672131149
Catalan	0.24629225201454752
Zamboanga Chavacano	0.02394683573310927
Min Dong	0.057944067089135964
Chechen	1.6790123456790123
Cebuano	0.1119484937878168
Chamorro	0.020435861641073368
Choctaw	0.019951773490976977
Cherokee	0.0177489363530878
Cheyenne	0.020636152055857254
Sorani	1.651190476190476
Corsican	0.14228267762598382
Capiznon	0.09763313609467456
Cree Wikiquote	0.01983212961155573
Crimean Tatar	1.3207171314741035
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.0397868833608034
Czech	0.4941627578997643
Kashubian	0.03317605973919827
Old Church Slavonic	0.02366724697689738
Chuvash	7.194829424307036
Welsh	0.14318494388399863
Danish	0.2916861843208091
Dagbani	0.10687022900763359
German	0.2358601522843482
Austrian German	0.11396528665037844
Swiss Standard German	0.19358829736909136
formal address in German	0.5454545454545454
Dinka	0.24047619047619048
Zazaki	0.06707613719289711
Lower Sorbian	0.1733573780774659
Kadazandusun	0.0168481610848572
Doteli	0.9079861111111112
Dhivehi	0.8466819221967964
Dzongkha	0.3604060913705584
Ewe	0.12549601672068578
Emilian	0.0722256664600124
Modern Greek	2.1235579019314392
Emilian-Romagnol	0.041545957334737954
English	0.16050891123545347
Canadian English	0.3756108860602157
British English	0.3489909621152368
Esperanto	0.33666238448468777
Spanish	0.18723889241315983
Latin American Spanish	0.6025641025641025
formal Spanish	0.19444444444444445
Estonian	0.2750712269076564
Basque	0.25670126019273537
Extremaduran	0.05283452051568847
Persian	1.0455563273216533
Fula	0.02266906227302267
Finnish	0.28428830341650546
Meänkieli	0.057722364308042055
Fijian	0.02177816834142055
kven	0.0
Faroese	0.0522495666121219
French	0.2478914055596815
Louisiana French	0.1672571082435434
Franco-Provençal	0.11056118999323868
North Frisian	0.1820204449789537
Friulian	0.11359234362538453
West Frisian	0.13845000576634758
Irish	0.03190910793755369
Gagauz	0.024410839026636984
Gan	0.7331378299120235
simplified Gan	0.4067357512953368
traditional Gan	0.41534391534391535
Guianan Creole	0.8888888888888888
Scottish Gaelic	0.141455889211782
Galician	0.2401803814687655
Gilaki	0.8982558139534884
Guarani	0.028585566382460414
Goan Konkani	0.951304347826087
Goan Konkani in Devanagari script	0.45077720207253885
Goan Konkani in Latin script	0.10933333333333334
Gorontalo	0.053985452341263826
Gothic	0.02132005617260309
Ancient Greek	1.581573896353167
Alemannic	0.2129787523407995
Gujarati	1.2646545273135446
Manx	0.034717006895610025
Hausa	0.05313153061870686
Hakka	0.06665063386814168
Hawaiian	0.029706866024001573
Hebrew	1.5598731767258054
Hindi	1.5188916876574308
Fiji Hindi	0.048739620955430614
Fiji Hindi in Latin script	0.01963003434280362
Hiligaynon	0.06548933038999265
Hiri Motu	0.02041530564629025
Croatian	0.26195019130295794
Hunsrik	0.08728763913298183
Upper Sorbian	0.17567452669765332
Haitian Creole	0.08991592277351049
Hungarian	0.828352229071628
formal Hungarian	0.0
Armenian	1.2314893354513348
Western Armenian	1.493932584269663
Herero	0.019911935471301094
Interlingua	0.11492790120358835
Indonesian	0.22002205012549805
Interlingue	0.1099819229973649
Igbo	0.031366333714201465
Nuosu	0.11797752808988764
Inupiat	0.01990281827016521
Eastern Canadian (Aboriginal syllabics)	0.054009819967266774
Eastern Canadian in Latin script	0.019852768423525725
Ilocano	0.04641782444458672
Ingush	1.073394495412844
Ido	0.13728819493068198
Icelandic	0.16773856327977638
Italian	0.3232734274441624
Inuktitut	0.017669059799664676
Japanese	1.621274689104159
Jamaican Creole	0.1244591400488227
Lojban	0.029634179110206903
Jutlandic	0.0845771144278607
Javanese	0.05664832645575424
Georgian	1.9313543599257885
Karakalpak	0.0285204991087344
Kabyle	0.1267785998861696
Kabardian	0.8271954674220963
Kabardian in Cyrillic script	0.0903954802259887
Kabiye	0.4343283582089552
Cape Verdean Creole	0.05070422535211268
Kongo	0.10968566559363757
Khowar	0.12849162011173185
Gikuyu	0.020522388059701493
Kirmanjki	0.08465608465608465
Kwanyama	0.018259675204007432
Eastern Pwo	1.0
Kazakh	2.3792884874415656
Kazakh Arabic alphabets	2.5720470006184293
Kazakh in China	2.3797979797979796
Kazakh in Cyrillic script	2.3531448355452973
Kazakh in Kazakhstan	1.624823695345557
Kazakh in Latin script	0.13450118764845606
Kazakh in Turkey	0.08814491347242438
Greenlandic	0.036402774455871804
Khmer	1.2635933806146573
Kannada	1.5914577530176417
Korean	1.354280510018215
North Korean standard language	0.1134020618556701
Permyak	1.9676258992805755
Kanuri	0.018974566007266856
Karachay-Balkar	0.9708333333333333
Krio	0.08011049723756906
Kinaray-a	0.014384793218597482
Karelian	0.05357142857142857
Kashmiri	0.7892976588628763
Kashmiri in Arabic script	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764
Ripuarian	0.04393462800875274
Kurdish	0.11370784873089021
Kurdish Arabic alphabet	0.9049145299145299
Kurdish in Latin script	0.036771042803792016
Kumyk	0.0
Komi	3.4375
Cornish	0.03270389714744878
Kyrgyz	3.5683926967973663
Latin	0.7423928077455049
Judaeo-Spanish	0.034955277280858676
Luxembourgish	0.18625520450649033
Lak	0.44493392070484583
Lezgian	1.4729458917835672
Lingua Franca Nova	0.03806702344546381
Luganda	0.018547587574355585
Limburgish	0.14346647767912804
Ligurian	0.11952821378001385
Livonian	0.08908973531310523
Laki	0.05224787363304982
Ladin	0.5364238410596026
Lombard	0.1732122402225495
Lingala	0.03247653372410789
Lao	0.06118961854622702
Lozi	0.01411420456990404
Northern Luri	0.9686684073107049
Lithuanian	0.2813602277651912
Latgalian	0.023562219617669643
Mizo	0.014076019112392923
Southern Luri	0.017297006632012904
Latvian	0.34207817257783124
Classical Chinese	0.673128735181738
Laz	0.013885295385942216
Madurese	0.019867549668874173
