Name Loader: TransliteratedNameLoader(language_column='language', debug_mode=False)
Loading names using p_map and 16 workers...
[compute_crossing_alignments] Creating pooled corpus...
[FastAligner] Saving alignment training data to: /tmp/tmp7aq87ncj
[FastAligner] Saving fast_align output to: /tmp/tmpgf_6a3jj
[compute_crossing_alignments] Avg. number of crossing alignments per language:
global	0.26873742553402846
Afar	0.019482273060452915
Abkhaz	1.233160621761658
Ambonese	0.0
Acehnese	0.027784500701873275
Adyghe	0.6931216931216931
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.234488315874295
Tunisian Arabic in Latin script	0.08770718232044199
Afrikaans	0.21944551607203241
Akan Wiktionary	0.023804143126177024
Gheg Albanian	0.014549145660632718
Swiss German	0.25384615384615383
Amharic	1.2581967213114753
Aragonese	0.18901978511458167
Old English	0.05102184637068358
Angika	0.0989010989010989
Arabic	1.1872413032230575
Aramaic	0.8910256410256411
Mapudungun	0.01771569712971638
Algerian Arabic	1.0907127429805616
Moroccan Arabic	1.5008895038545167
Egyptian Arabic	0.7565888763808652
Assamese	0.5487914055505819
Asturian	0.13794909854930748
Atikamekw	0.056555269922879174
Avaric	1.7652173913043478
Kotava	0.5314136125654451
Awadhi	0.5956678700361011
Aymara	0.05851509303426428
Azerbaijani	0.6129267403717653
South Azerbaijani	1.1347837622711594
Bashkir language	5.975239167135622
Balinese	0.3192488262910798
Bavarian	0.12824455138328905
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.08764665286404417
Southern Balochi	0.08465608465608465
Central Bikol	0.03684077718899823
Belarusian	2.4827859879584016
Taraškievica	1.3345735884715333
Bulgarian	2.3651938825230663
Western Balochi	0.033112582781456956
Bhojpuri	1.111227701993704
Bislama Wiktionary	0.021200211624215856
Banjar	0.02488210964461656
Bambara	0.10874547490689376
Bengali	1.2367631208025869
Tibetan	1.654601861427094
Bishnupriya Manipuri	0.8766233766233766
Bakhtiari	0.12105263157894737
Breton	0.19033224889207676
Brahui language	0.014440277598172334
Bosnian	0.20833272485652116
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.028671342182035976
Russia Buriat	1.1823770491803278
Catalan	0.20697603936390216
Zamboanga Chavacano	0.022113585150670283
Min Dong	0.055970857207908016
Chechen	3.286236854138089
Cebuano	0.10975215865291445
Chamorro	0.01876841941988522
Choctaw	0.01827940261356565
Cherokee	0.0177489363530878
Cheyenne	0.018968192397207137
Sorani	1.6424603174603174
Corsican	0.13409760150231786
Capiznon	0.09763313609467456
Cree Wikiquote	0.01815342572711302
Crimean Tatar	1.292828685258964
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.037602054505730384
Czech	0.42146795411911187
Kashubian	0.03142995133187205
Old Church Slavonic	0.02296146426386863
Chuvash	6.4888059701492535
Welsh	0.0886382985948563
Danish	0.2340387366033172
Dagbani	0.10687022900763359
German	0.17599176202558034
Austrian German	0.10515619512996958
Swiss Standard German	0.16608565918270804
formal address in German	0.5454545454545454
Dinka	0.20238095238095238
Zazaki	0.06406592070055947
Lower Sorbian	0.16913909361768856
Kadazandusun	0.014464762687487158
Doteli	0.9027777777777778
Dhivehi	0.8398169336384439
Dzongkha	0.3553299492385787
Ewe	0.12316360221730834
Emilian	0.045567265964042154
Modern Greek	1.9957812371109722
Emilian-Romagnol	0.03815512246510403
English	1.920883667955537e-05
Canadian English	0.12118849472024949
British English	0.1140009344338888
Esperanto	0.3180233816345043
Spanish	0.11034248903873856
Latin American Spanish	0.6025641025641025
formal Spanish	0.19444444444444445
Estonian	0.2665540787342022
Basque	0.2427501853224611
Extremaduran	0.04762465414728911
Persian	1.0361186533707019
Fula	0.020451852135020453
Finnish	0.22293737541713976
Meänkieli	0.055129298096050015
Fijian	0.01956214419439881
kven	0.0
Faroese	0.050013771203603195
French	0.20932181731565772
Louisiana French	0.1486627874960994
Franco-Provençal	0.10055442866801893
North Frisian	0.17092603728202044
Friulian	0.10494853974402796
West Frisian	0.12449544458539961
Irish	0.029712377519845498
Gagauz	0.02210792968450142
Gan	0.7287390029325513
simplified Gan	0.4015544041450777
traditional Gan	0.4126984126984127
Guianan Creole	0.8968253968253969
Scottish Gaelic	0.12094858823951495
Galician	0.18432761435154643
Gilaki	0.8895348837209303
Guarani	0.026910779537149817
Goan Konkani	1.1756521739130434
Goan Konkani in Devanagari script	0.7875647668393783
Goan Konkani in Latin script	0.10866666666666666
Gorontalo	0.05182603424761328
Gothic	0.02132005617260309
Ancient Greek	1.5738963531669865
Alemannic	0.18897444213125217
Gujarati	1.2459466201047642
Manx	0.03280535263193828
Hausa	0.04999683363941486
Hakka	0.06441749407359054
Hawaiian	0.031949636041707655
Hebrew	1.4481594696481261
Hindi	1.4950733441991406
Fiji Hindi	0.04799493614327736
Fiji Hindi in Latin script	0.017951920074929753
Hiligaynon	0.03384841795437822
Hiri Motu	0.018743194898117904
Croatian	0.2497127958203051
Hunsrik	0.08728763913298183
Upper Sorbian	0.16507482144881533
Haitian Creole	0.08778804235001038
Hungarian	0.6315470500079877
formal Hungarian	0.0
Armenian	1.2223438873552228
Western Armenian	1.4831460674157304
Herero	0.01823637142968476
Interlingua	0.10480091053296649
Indonesian	0.19569653933668665
Interlingue	0.10012501011772536
Igbo	0.028859975673583723
Nuosu	0.11797752808988764
Inupiat	0.0182312925170068
