Name Loader: TransliteratedNameLoader(language_column='language', debug_mode=False)
Loading names using p_map and 16 workers...
[compute_crossing_alignments] Creating pooled corpus...
[FastAligner] Saving alignment training data to: /tmp/tmptjnp2ng4
[FastAligner] Saving fast_align output to: /tmp/tmpzdnv0937
[compute_crossing_alignments] Avg. number of crossing alignments per language:
global	0.301940210944644
Afar	0.020832529609197178
Abkhaz	0.9689119170984456
Ambonese	0.0
Acehnese	0.03279442373783823
Adyghe	0.7354497354497355
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.280419016921837
Tunisian Arabic in Latin script	0.08839779005524862
Afrikaans	0.199714231282149
Akan Wiktionary	0.02598870056497175
Gheg Albanian	0.015268144138047708
Swiss German	0.2230769230769231
Amharic	1.275273224043716
Aragonese	0.19572983164092217
Old English	0.05486257928118393
Angika	0.0989010989010989
Arabic	1.1761877225553155
Aramaic	0.9230769230769231
Mapudungun	0.018013797802572184
Algerian Arabic	1.1166306695464363
Moroccan Arabic	1.5248072741648546
Egyptian Arabic	0.7308271583557034
Assamese	0.5570725156669651
Asturian	0.17553489096295616
Atikamekw	0.07197943444730077
Avaric	1.6869565217391305
Kotava	0.5270506108202443
Awadhi	0.5776173285198556
Aymara	0.060772675964024324
Azerbaijani	0.6043181699845531
South Azerbaijani	1.0042704266636344
Bashkir language	6.6339335959482275
Balinese	0.3145539906103286
Bavarian	0.14853471941583868
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.0883367839889579
Southern Balochi	0.08465608465608465
Central Bikol	0.04473522944378357
Belarusian	2.5998905309250135
Taraškievica	1.466040633120718
Bulgarian	2.4342413429950174
Western Balochi	0.033112582781456956
Bhojpuri	1.1190975865687303
Bislama Wiktionary	0.023051923512961984
Banjar	0.027318949392765877
Bambara	0.12303204719180133
Bengali	1.242815686924799
Tibetan	1.6825232678386763
Bishnupriya Manipuri	0.8766233766233766
Bakhtiari	0.12105263157894737
Breton	0.20561623903598655
Brahui language	0.014526488210698737
Bosnian	0.22883595951925464
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.03139550609555826
Russia Buriat	1.1741803278688525
Catalan	0.24716614735543485
Zamboanga Chavacano	0.024061413894511705
Min Dong	0.0581337988084848
Chechen	1.6767261088248742
Cebuano	0.11205615727482182
Chamorro	0.020552194819295797
Choctaw	0.020068450528935907
Cherokee	0.017920838884352572
Cheyenne	0.02079131109387122
Sorani	1.6611111111111112
Corsican	0.14257342024796232
Capiznon	0.09763313609467456
Cree Wikiquote	0.01994924848721452
Crimean Tatar	1.3067729083665338
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.039940204683966425
Czech	0.42171940944113184
Kashubian	0.03351042092357989
Old Church Slavonic	0.023902507881240296
Chuvash	7.231876332622601
Welsh	0.14470128799087975
Danish	0.27901938006659766
Dagbani	0.09923664122137404
German	0.23859542661835062
Austrian German	0.11297239946801357
Swiss Standard German	0.19066402724811504
formal address in German	0.36363636363636365
Dinka	0.24047619047619048
Zazaki	0.06500851374361469
Lower Sorbian	0.16435628038262506
Kadazandusun	0.016930347236490652
Doteli	0.9201388888888888
Dhivehi	0.9473684210526315
Dzongkha	0.3604060913705584
Ewe	0.1264047496440796
Emilian	0.0722256664600124
Modern Greek	2.125503782790073
Emilian-Romagnol	0.041249670792731105
English	0.22020905700244914
Canadian English	0.37552261068046733
British English	0.35035418236623966
Esperanto	0.32734899483373087
Spanish	0.19073764239898397
Latin American Spanish	0.6068376068376068
formal Spanish	0.19444444444444445
Estonian	0.2716217029212826
Basque	0.25594979966567705
Extremaduran	0.052981691882027435
Persian	1.0278711457382113
Fula	0.022745517795022745
Finnish	0.2629728944014019
Meänkieli	0.05779340721795965
Fijian	0.021892790280059603
kven	0.0
Faroese	0.05213615670009559
French	0.2512094817916892
Louisiana French	0.1689856455817027
Franco-Provençal	0.11149976560527929
North Frisian	0.17360192423331328
Friulian	0.11488446989836996
West Frisian	0.13272210048821742
Irish	0.03205445776377737
Gagauz	0.024525984493743762
Gan	0.6744868035190615
simplified Gan	0.3626943005181347
traditional Gan	0.3888888888888889
Guianan Creole	0.8492063492063492
Scottish Gaelic	0.1425690996240062
Galician	0.24773378982570948
Gilaki	0.9011627906976745
Guarani	0.0283952496954933
Goan Konkani	0.96
Goan Konkani in Devanagari script	0.45077720207253885
Goan Konkani in Latin script	0.11
Gorontalo	0.054591604788604337
Gothic	0.021617941188986765
Ancient Greek	1.6026871401151632
Alemannic	0.21009766023444734
Gujarati	1.2748815165876777
Manx	0.03393186318017342
Hausa	0.05211829523146096
Hakka	0.06647885388394545
Hawaiian	0.02305724965571513
Hebrew	1.5597973254852584
Hindi	1.508964291006075
Fiji Hindi	0.04788323342145437
Fiji Hindi in Latin script	0.01974711208242273
Hiligaynon	0.06548933038999265
Hiri Motu	0.02053196453569762
Croatian	0.26047301515946153
Hunsrik	0.08787346221441125
Upper Sorbian	0.16751218682689037
Haitian Creole	0.08228669296242475
Hungarian	0.8030677825774395
formal Hungarian	0.0
Armenian	1.2300087907342576
Western Armenian	1.4687640449438202
Herero	0.020028835288158048
Interlingua	0.11565485472567259
Indonesian	0.2119801615227372
Interlingue	0.11091824804388883
Igbo	0.03125575909476245
Nuosu	0.11797752808988764
Inupiat	0.020019436345966958
Eastern Canadian (Aboriginal syllabics)	0.054009819967266774
Eastern Canadian in Latin script	0.019970240426031797
Ilocano	0.046577885908188746
Ingush	1.091743119266055
Ido	0.1381821364491707
Icelandic	0.1685869902809657
Italian	0.3249414824174284
Inuktitut	0.017798031039078285
Japanese	1.5949080506566886
Jamaican Creole	0.12568778900054248
Lojban	0.029826110322060572
Jutlandic	0.0845771144278607
Javanese	0.0572673085740486
Georgian	1.9307090425102849
Karakalpak	0.028634277695604355
Kabyle	0.12802204198843573
Kabardian	0.8243626062322946
Kabardian in Cyrillic script	0.0903954802259887
Kabiye	0.4417910447761194
Cape Verdean Creole	0.05070422535211268
Kongo	0.11073765136954525
Khowar	0.12849162011173185
Gikuyu	0.02063899253731343
Kirmanjki	0.08465608465608465
Kwanyama	0.018380867738547305
Eastern Pwo	1.1666666666666667
Kazakh	2.3829332065604945
Kazakh Arabic alphabets	2.5974025974025974
Kazakh in China	2.404040404040404
Kazakh in Cyrillic script	2.36468551644547
Kazakh in Kazakhstan	1.6346967559943582
Kazakh in Latin script	0.13457541567695963
Kazakh in Turkey	0.08814491347242438
Greenlandic	0.036881128916527145
Khmer	1.2765957446808511
Kannada	1.5952878365831011
Korean	1.350003252667187
North Korean standard language	0.1134020618556701
Permyak	1.974820143884892
Kanuri	0.01909568025837707
Karachay-Balkar	0.9708333333333333
Krio	0.08011049723756906
Kinaray-a	0.0144704169877558
Karelian	0.05357142857142857
Kashmiri	0.7993311036789298
Kashmiri in Arabic script	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764
Ripuarian	0.044173960612691465
Kurdish	0.11253748811352499
